Scan,Color,Generation,Selection,Progeny,Label (C-G-S-P),Founder
S001,Green,1,74,2,G-1-74-2,
S001,Red,1,146,1,R-1-146-1,
S001,Blue,1,184,3,B-1-184-3,
S001,Orange,1,201,1,O-1-201-1,
S002,Orange,1,77,1,O-1-77-1,
S002,Red,1,204,3,R-1-204-3,
S002,Green,7,76,2,G-7-76-2,
S002,Blue,7,83,2,B-7-83-2,
S003,Green,1,10,2,G-1-10-2,
S003,Red,1,210,2,R-1-210-2,
S003,Blue,1,221,1,B-1-221-1,
S003,Orange,7,188,2,O-7-188-2,
S004,Green,1,22,2,G-1-22-2,
S004,Blue,1,112,1,B-1-112-1,
S004,Orange,1,196,3,O-1-196-3,
S004,Red,1,220,3,R-1-220-3,
S005,Red,48,5,19,R-48-5-19,Atlas
S005,Blue,1,85,3,B-1-85-3,
S005,Green,1,171,2,G-1-171-2,
S005,Orange,7,118,1,O-7-118-1,
S006,Blue,1,63,3,B-1-63-3,
S006,Orange,1,119,1,O-1-119-1,
S006,Red,1,183,3,R-1-183-3,
S006,Green,1,202,3,G-1-202-3,
S007,Orange,1,130,2,O-1-130-2,
S007,Red,1,147,1,R-1-147-1,
S007,Blue,1,203,2,B-1-203-2,
S007,Green,7,95,3,G-7-95-3,
S008,Orange,61,5,2,O-61-5-2,Maison Carree (Carre 42)
S008,Red,1,122,3,R-1-122-3,
S008,Blue,1,150,1,B-1-150-1,
S008,Green,1,221,2,G-221-2,
S009,Red,1,19,3,R-1-19-3,
S009,Blue,1,102,2,B-1-102-2,
S009,Green,1,131,3,G-1-131-3,
S009,Orange,1,139,3,O-1-139-3,
S010,Green,58,3,2,G-58-3-2,Horn
S010,Blue,1,117,1,B-1-117-1,
S010,Orange,7,45,2,O-7-45-2,
S010,Red,7,180,2,R-7-180-2,
S011,Green,1,165,3,G-1-165-3,
S011,Red,1,206,1,R-1-206-1,
S011,Blue,7,15,1,B-7-15-1,
S011,Orange,7,137,2,O-7-137-2,
S012,Green,71,5,2,G-71-5-2,White Smyrna
S012,Blue,1,14,2,B-1-14-2,
S012,Orange,1,90,2,O-1-90-2,
S012,Red,1,204,2,R-1-204-2,
S013,Red,58,3,3,R-58-3-3,Horn
S013,Green,1,92,2,G-1-92-2,
S013,Orange,1,164,3,O-1-164-3,
S013,Blue,7,94,3,B-7-94-3,
S014,Green,1,7,1,G-1-7-1,
S014,Orange,1,60,3,O-1-60-3,
S014,Blue,1,66,3,B-1-66-3,
S014,Red,1,71,3,R-1-71-3,
S015,Blue,66,5,1,B-66-5-1,Oderbrucker
S015,Orange,1,92,3,O-1-92-3,
S015,Red,1,119,2,R-1-119-2,
S015,Green,1,172,2,G-1-172-2,
S016,Orange,1,40,2,O-1-40-1,
S016,Red,1,162,2,R-1-162-2,
S016,Green,1,177,1,G-1-177-1,
S016,Blue,1,217,2,B-1-217-2,
S017,Green,1,16,3,G-1-16-3,
S017,Red,1,32,2,R-1-32-2,
S017,Blue,1,140,1,B-1-140-1,
S017,Orange,1,197,3,O-1-197-3,
S018,Red,1,195,1,R-1-195-1,
S018,Green,1,206,3,G-1-206-3,
S018,Orange,1,212,3,O-1-212-3,
S018,Blue,7,116,2,B-7-116-2,
S019,Green,1,3,1,G-1-3-1,
S019,Orange,1,156,3,O-1-156-3,
S019,Blue,1,207,2,B-1-207-2,
S019,Red,7,178,1,R-7-178-1,
S020,Blue,1,69,3,B-1-69-3,
S020,Green,1,111,1,G-1-111-1,
S020,Red,1,208,3,R-1-208-3,
S020,Orange,7,72,2,O-7-72-2,
S021,Green,1,91,2,G-1-91-2,
S021,Blue,1,95,2,B-1-95-2,
S021,Red,1,157,1,R-1-157-1,
S021,Orange,1,192,1,O-1-192-1,
S022,Blue,1,121,2,B-1-121-2,
S022,Red,1,184,2,R-1-184-2,
S022,Orange,7,11,3,O-7-11-3,
S022,Green,7,53,2,G-7-53-2,
S023,Red,50,3,2,R-50-3-2,Club Mariout
S023,Orange,1,43,2,O-1-43-2,
S023,Blue,1,145,3,B-1-145-3,
S023,Green,1,190,3,G-1-190-3,
S024,Orange,1,47,2,O-1-47-2,
S024,Red,1,138,3,R-1-138-3,
S024,Green,1,176,1,G-1-176-1,
S024,Blue,7,136,1,B-7-136-1,
S025,Red,1,14,1,R-1-14-1,
S025,Orange,1,77,3,O-1-77-3,
S025,Blue,1,114,2,B-1-114-2,
S025,Green,7,21,3,G-7-21-3,
S026,Red,1,68,3,R-1-68-3,
S026,Blue,1,122,2,B-1-122-2,
S026,Orange,1,178,3,O-1-178-3,
S026,Green,7,122,3,G-7-122-3,
S027,Red,55,5,1,R-55-5-1,Good Delta (104)
S027,Orange,1,144,3,O-1-144-3,
S027,Blue,1,167,1,B-1-167-1,
S027,Green,1,211,2,G-1-211-2,
S028,Green,1,16,2,G-1-16-2,
S028,Orange,1,56,2,O-1-56-2,
S028,Blue,1,61,2,B-1-61-2,
S028,Red,1,135,3,R-1-135-3,
S029,Blue,1,59,2,B-1-59-2,
S029,Orange,1,82,3,O-1-82-3,
S029,Red,1,103,2,R-1-103-2,
S029,Green,1,169,2,G-1-169-2,
S030,Orange,1,70,3,O-1-70-3,
S030,Red,1,137,3,R-1-137-3,
S030,Blue,1,153,3,B-1-153-3,
S030,Green,1,162,3,G-1-162-3,
S031,Blue,1,116,3,B-1-116-3,
S031,Orange,1,146,3,O-1-146-3,
S031,Green,1,190,1,G-1-190-1,
S031,Red,1,209,1,R-1-209-1,
S032,Green,62,5,2,G-62-5-2,Manchuria
S032,Blue,1,36,1,B-1-36-1,
S032,Orange,1,110,1,O-1-110-1,
S032,Red,7,196,2,R-7-196-2,
S033,Red,1,64,2,R-1-64-2,
S033,Green,1,153,2,G-1-153-2,
S033,Orange,1,190,2,O-1-190-2,
S033,Blue,1,220,2,B-1-220-2,
S034,Blue,1,46,2,B-1-46-2,
S034,Green,1,61,1,G-1-61-1,
S034,Orange,1,120,3,O-1-120-3,
S034,Red,7,82,3,R-7-82-3,
S035,Blue,46,4,2,B-46-4-2,Alpha
S035,Green,1,73,2,G-1-73-2,
S035,Orange,7,11,1,O-7-11-1,
S035,Red,7,158,3,R-7-158-3,
S036,Blue,1,61,3,B-1-61-3,
S036,Orange,1,146,2,O-1-146-2,
S036,Red,1,188,3,R-1-188-3,
S036,Green,7,166,2,G-7-166-2,
S037,Red,48,5,21,R-48-5-21,Atlas
S037,Orange,1,24,3,O-1-24-3,
S037,Blue,1,92,1,B-1-92-1,
S037,Green,1,165,2,G-1-165-2,
S038,Blue,1,65,1,B-1-65-1,
S038,Orange,1,157,3,O-1-157-3,
S038,Red,1,168,1,R-1-168-1,
S038,Green,7,83,1,G-7-83-1,
S039,Blue,1,36,3,B-1-36-3,
S039,Red,1,166,1,R-1-166-1,
S039,Green,1,176,3,G-1-176-3,
S039,Orange,1,201,2,O-1-201-2,
S040,Orange,1,35,2,O-1-35-2,
S040,Red,1,182,2,R-1-182-2,
S040,Green,1,205,1,G-1-205-1,
S040,Blue,7,128,3,B-7-128-3,
S041,Green,1,69,1,G-1-69-1,
S041,Red,1,151,2,R-1-151-2,
S041,Orange,1,219,1,O-1-219-1,
S041,Blue,7,220,2,B-7-220-2,
S042,Blue,1,34,2,B-1-34-2,
S042,Red,1,124,2,R-1-124-2,
S042,Green,1,132,2,G-1-132-2,
S042,Orange,1,180,2,O-1-180-2,
S043,Red,1,33,2,R-1-33-2,
S043,Orange,1,33,3,O-1-33-3,
S043,Green,1,220,1,G-1-220-1,
S043,Blue,7,135,2,B-7-135-2,
S044,Red,1,15,2,R-1-15-2,
S044,Orange,1,22,1,O-1-22-1,
S044,Blue,7,118,2,B-7-118-2,
S044,Green,7,196,1,G-7-196-1,
S045,Blue,71,5,3,B-71-5-3,White Smyrna
S045,Green,1,30,2,G-1-30-2,
S045,Orange,1,94,3,O-1-94-3,
S045,Red,1,179,1,R-1-179-1,
S046,Red,62,5,3,R-62-5-2,Manchuria
S046,Orange,1,64,1,O-1-64-1,
S046,Blue,1,149,2,B-1-149-2,
S046,Green,7,190,1,G-7-190-1,
S047,Red,64,5,3,R-64-5-3,Minia
S047,Blue,1,13,2,B-1-13-2,
S047,Orange,1,152,1,O-1-152-1,
S047,Green,1,195,2,G-1-195-2,
S048,Green,1,27,1,G-1-27-1,
S048,Blue,1,29,3,B-1-29-3,
S048,Red,1,106,3,R-1-106-3,
S048,Orange,1,142,1,O-1-142-1,
S049,Blue,69,5,2,B-69-5-2,Sandrel
S049,Orange,1,51,3,O-1-51-3,
S049,Green,1,57,2,G-1-57-2,
S049,Red,1,208,1,R-1-208-1,
S050,Green,63,4,3,G-63-4-3,Meloy
S050,Orange,1,55,2,O-1-55-2,
S050,Red,1,63,2,R-1-63-2,
S050,Blue,1,198,3,B-1-198-3,
S051,Green,1,39,1,G-1-39-1,
S051,Orange,1,78,2,O-1-78-2,
S051,Red,1,85,1,R-1-85-1,
S051,Blue,1,185,3,B-1-185-3,
S052,Orange,1,4,3,O-1-4-3,
S052,Blue,1,154,2,B-1-154-2,
S052,Red,1,157,2,R-1-157-2,
S052,Green,7,123,1,G-7-123-1,
S053,Red,1,48,1,R-1-48-1,
S053,Green,1,51,1,G-1-51-1,
S053,Blue,1,66,1,B-1-66-1,
S053,Orange,1,193,3,O-1-193-3,
S054,Blue,1,3,3,B-1-3-3,
S054,Orange,1,6,3,O-1-6-3,
S054,Green,1,13,1,G-1-13-1,
S054,Red,1,102,3,R-1-102-3,
S055,Blue,1,96,2,B-1-96-2,
S055,Red,1,106,1,R-1-106-1,
S055,Green,1,197,1,G-1-197-1,
S055,Orange,7,179,3,O-7-179-3,
S056,Red,1,38,1,R-1-38-1,
S056,Blue,1,40,2,B-1-40-2,
S056,Green,1,125,3,G-1-125-3,
S056,Orange,7,6,2,O-7-6-2,
S057,Blue,57,4,3,B-57-4-3,Hannchen
S057,Red,1,15,1,R-1-15-1,
S057,Orange,1,105,1,O-1-105-1,
S057,Green,7,11,2,G-7-11-2,
S058,Green,1,121,1,G-1-121-1,
S058,Red,1,127,3,R-1-127-3,
S058,Orange,7,53,3,O-7-53-3,
S059,Green,1,24,1,G-1-24-1,
S059,Red,1,156,1,R-1-156-1,
S060,Green,46,4,3,G-46-4-3,Alpha
S060,Red,1,94,2,R-1-94-2,
S061,Red,67,3,1,R-67-3-1,Orel
S061,Green,7,60,3,G-7-60-3,
S062,Green,1,38,3,G-1-38-3,
S062,Red,1,151,1,R-1-151-1,
S063,Red,69,5,1,R-69-5-1,Sandrel
S063,Orange,7,94,1,O-7-94-1,
S064,Green,68,3,2,G-68-3-2,Palmella Blue (79B)
S064,Blue,1,155,2,B-1-155-2,
S064,Red,1,195,3,R-1-195-3,
S064,Orange,7,100,3,O-7-100-3,
S065,Blue,60,4,2,B-60-4-2,Lyallpur
S065,Green,1,47,1,G-1-47-1,
S065,Orange,1,82,2,O-1-82-2,
S065,Red,7,166,3,R-7-166-3,
S066,Red,1,9,3,R-1-9-3,
S066,Blue,1,21,3,B-1-21-3,
S066,Orange,1,161,3,O-1-161-3,
S066,Green,1,203,3,G-1-203-3,
S067,Red,1,65,2,R-1-65-2,
S067,Blue,1,67,2,B-1-67-2,
S067,Orange,1,112,2,O-1-112-2,
S067,Green,7,116,3,G-7-116-3,
S068,Orange,1,6,2,O-1-6-2,
S068,Blue,1,103,3,B-1-103-3,
